fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o,COI Score
140,26,Belmont,1,1,75.0166180336951,1,12561,5996,6565,3546,6841,2174,10939,66,7,965,0,27,262,295,3578,1323,826,921,363,112,33,832,689,120,15,5,2,1,0,6149.0,252.0,85.0,74.0,96.0,141.0,101.0,50.0,225.0,89.0,296.0,326.0,560.0,327.0,421.0,770.0,2336.0,9.677596334866443
141,266,Sharon,1,1,98.4283190307621,1,16699,8079,8620,4556,10054,2089,13468,671,9,1888,6,41,270,346,4807,1789,1122,1294,413,141,48,1038,870,143,14,9,1,0,1,5977.0,122.0,97.0,56.0,20.0,129.0,75.0,64.0,117.0,104.0,144.0,263.0,626.0,780.0,611.0,935.0,1834.0,8.256413226494425
142,286,Stow,1,1,0.0345961613154492,1,52,23,29,17,27,8,46,4,0,0,0,0,0,2,14,4,4,5,0,1,0,6,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,8.48486494355388
143,291,Swampscott,1,1,77.8499666112588,1,8274,4019,4255,2141,4900,1233,7792,57,2,168,1,8,88,158,2437,1002,563,586,214,63,9,598,498,88,9,1,2,0,0,3312.0,55.0,51.0,27.0,95.0,115.0,20.0,42.0,38.0,101.0,165.0,215.0,268.0,280.0,352.0,552.0,936.0,7.782299515628787
144,46,Brookline,1,1,69.4747089270653,1,13667,6478,7189,3245,8241,2181,10685,445,8,1620,0,46,294,569,3502,1429,738,858,351,97,29,1226,958,201,38,15,12,1,1,5920.0,356.0,167.0,124.0,90.0,74.0,116.0,100.0,76.0,97.0,109.0,314.0,433.0,551.0,451.0,792.0,2070.0,7.826976980592396
145,307,Walpole,1,1,90.5154437846051,1,18416,9368,9048,4742,11213,2461,16566,492,27,534,1,33,146,617,4808,1703,1071,1162,617,193,62,1185,980,177,20,5,3,0,0,7566.0,131.0,85.0,185.0,165.0,228.0,113.0,242.0,118.0,203.0,369.0,439.0,720.0,941.0,642.0,1149.0,1836.0,7.816984694244919
146,308,Waltham,1,1,76.0792793846205,1,32667,15949,16718,4787,23197,4683,25889,1304,31,2672,6,102,500,2163,6991,3085,1670,1372,562,210,92,3851,2996,677,101,50,21,4,2,15293.0,753.0,323.0,298.0,360.0,447.0,361.0,286.0,351.0,530.0,1117.0,1315.0,1841.0,1700.0,1437.0,1838.0,2336.0,4.416801757204501
147,314,Watertown,1,1,25.2830482844381,1,5995,2859,3136,1119,3883,993,5225,122,1,295,0,25,128,199,1566,676,376,355,119,30,10,932,696,192,36,7,1,0,0,3199.0,70.0,30.0,189.0,45.0,0.0,153.0,29.0,32.0,15.0,151.0,286.0,547.0,336.0,307.0,304.0,705.0,6.999420401546173
148,30,Beverly,1,1,28.5679848284158,1,15446,7389,8057,3257,9488,2701,14618,134,9,198,3,23,142,319,4304,1876,1037,980,291,93,27,1904,1554,299,31,14,6,0,0,4415.0,89.0,148.0,104.0,69.0,147.0,121.0,89.0,88.0,173.0,363.0,300.0,583.0,603.0,367.0,602.0,569.0,5.69984665552767
149,344,Winchester,1,1,79.8977493230552,1,14707,7051,7656,4471,7867,2369,13170,71,7,970,7,21,215,246,4096,1444,858,1082,537,137,38,903,812,83,7,0,1,0,0,5237.0,84.0,22.0,63.0,65.0,39.0,147.0,43.0,38.0,66.0,118.0,322.0,224.0,324.0,438.0,549.0,2695.0,8.71848263676916
150,347,Woburn,1,1,62.5805030292823,1,18984,9217,9767,3872,11795,3317,16782,437,20,906,1,111,198,529,5193,2053,1297,1102,494,164,83,1984,1622,305,42,12,3,0,0,9175.0,228.0,155.0,330.0,319.0,159.0,285.0,257.0,266.0,181.0,615.0,943.0,1199.0,1412.0,736.0,1131.0,959.0,6.100940998449721
151,34,Bolton,1,1,100.0,0,4897,2424,2473,1449,2985,463,4577,22,7,130,1,3,70,87,1391,505,312,372,133,52,17,279,202,74,3,0,0,0,0,1678.0,10.0,37.0,24.0,22.0,31.0,14.0,32.0,30.0,25.0,34.0,129.0,130.0,155.0,132.0,276.0,597.0,8.279360390740361
152,48,Burlington,1,1,89.9046508368596,1,23070,11232,11838,5163,13910,3997,18546,657,30,2929,5,68,322,513,6308,2447,1476,1424,618,239,104,2258,1892,313,33,14,5,0,1,9145.0,202.0,91.0,289.0,226.0,212.0,228.0,254.0,312.0,167.0,490.0,623.0,1195.0,937.0,886.0,1325.0,1708.0,7.010384136694444
153,92,Essex,1,1,0.148950953145011,1,9,4,5,1,4,4,9,0,0,0,0,0,0,0,3,2,1,0,0,0,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,7.0965351984626315
154,78,Dover,1,1,100.0,1,5589,2780,2809,1748,3079,762,5099,34,7,285,3,6,72,83,1585,576,325,388,213,64,19,284,247,33,3,0,1,0,0,2015.0,10.0,6.0,30.0,11.0,9.0,9.0,0.0,42.0,20.0,21.0,62.0,133.0,203.0,155.0,178.0,1126.0,6.992385539392755
155,99,Foxborough,1,1,92.7863691876401,1,11706,5796,5910,3058,7163,1485,10962,141,11,300,0,23,107,162,3280,1213,692,857,367,109,42,763,591,150,13,7,1,0,1,5258.0,120.0,159.0,38.0,89.0,31.0,178.0,178.0,96.0,25.0,240.0,394.0,787.0,638.0,558.0,746.0,981.0,
